                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0698,                0.65883,                0.99147,                0.79937,                0.59836,                0.69815,                0.44872,                 1.1249,                0.70183,                 1.0099,              0.0003466,              0.0003466,              0.0003466
                     36,                   1.07,                 0.6549,                0.99011,                 0.7876,                0.60397,                0.69617,                0.44999,                 1.1147,                0.69697,                 1.0069,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.0574,                0.64695,                0.98745,                0.79952,                0.59565,                0.69754,                0.45013,                 1.1181,                0.69703,                  1.009,               0.000307,               0.000307,               0.000307
                     38,                 1.0544,                 0.6417,                0.98753,                0.78816,                0.60518,                0.70031,                0.45154,                  1.112,                0.69154,                 1.0097,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.0417,                0.63707,                 0.9851,                0.79591,                0.60073,                0.69961,                0.45171,                 1.1132,                 0.6935,                 1.0062,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.0483,                 0.6406,                0.98452,                0.79345,                0.60862,                 0.7037,                0.45354,                 1.1126,                0.68837,                 1.0083,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.0587,                0.64074,                0.98688,                0.79034,                0.60041,                0.69571,                0.44902,                 1.1216,                0.69256,                 1.0098,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.0498,                0.63171,                0.98123,                 0.7867,                0.60344,                0.69901,                0.44884,                 1.1206,                0.69695,                  1.007,               0.000208,               0.000208,               0.000208
                     43,                 1.0438,                0.62771,                0.97962,                0.79826,                0.60181,                0.70098,                0.45144,                 1.1146,                0.68905,                 1.0065,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.0337,                0.62124,                0.97715,                0.79223,                0.60739,                0.70212,                0.45223,                  1.116,                0.69055,                 1.0072,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.0365,                0.62296,                 0.9784,                0.79447,                0.60112,                0.70018,                 0.4526,                 1.1129,                 0.6843,                 1.0031,              0.0001486,              0.0001486,              0.0001486
                     46,                  1.032,                0.61713,                 0.9745,                0.78623,                 0.6054,                0.69939,                 0.4525,                 1.1125,                0.68537,                 1.0034,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.0268,                0.61392,                0.97451,                0.79664,                0.60227,                0.70147,                0.45276,                 1.1125,                0.68211,                 1.0059,               0.000109,               0.000109,               0.000109
                     48,                 1.0253,                 0.6109,                0.97198,                0.79484,                0.60956,                0.70251,                0.45481,                 1.1055,                0.68139,                 1.0016,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.0149,                0.60476,                0.96988,                 0.7929,                0.60846,                0.70452,                0.45577,                 1.1059,                0.67808,                  1.004,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                 1.0162,                0.60197,                0.96794,                0.79116,                0.61256,                0.70527,                 0.4562,                 1.1035,                0.67616,                  1.002,               4.96e-05,               4.96e-05,               4.96e-05
